name,country,qty_flights,mean_flights
"BIG TROUT LAKE",CANADA,79,74.0068
"BIGFORK MUN","UNITED STATES",67,76.4391
"BIGGIN HILL","UNITED KINGDOM",66,83.8865
BILBAO,SPAIN,53,83.8966
BILDUDALUR,ICELAND,40,79.7143
BILENE,MOZAMBIQUE,14,50.1429
"BILLARD MUN","UNITED STATES",53,76.4391
"BILLINGS LOGAN INTL","UNITED STATES",52,76.4391
BILLUND,DENMARK,106,86.3667
BILTINE,CHAD,119,74.0714
BINA,AZERBAIJAN,39,46.0000
BINDER,MONGOLIA,53,63.2727
BINDJA,CONGO,66,81.3408
BINGA,CONGO,107,81.3408
"BINGHAMTON REGL/ LINK","UNITED STATES",67,76.4391
BINHAI,CHINA,53,59.0556
BINNINGEN,GERMANY,39,76.3204
BINTULU,MALAYSIA,13,53.5263
"BIRCH HILLS",CANADA,54,74.0068
"BIRCH MOUNTAIN",CANADA,40,74.0068
BIRCHWOOD,"UNITED STATES",120,76.4391
BIRDSVILLE,AUSTRALIA,54,54.9680
"BIRGI MIL",ITALY,239,76.5375
BIRJAND,IRAN,94,80.8400
"BIRMINGHAM INTL","UNITED STATES",106,76.4391
BIRMINGHAM,"UNITED KINGDOM",67,83.8865
BIRRFELD,SWITZERLAND,94,83.4762
"BIRSA MUNDA",INDIA,160,63.8654
"BISHE KOLA AB",IRAN,66,80.8400
BISHO,"SOUTH AFRICAN REP",133,80.1429
BISHOP,"UNITED STATES",107,76.4391
BISLIG,PHILIPPINES,53,60.6316
"BISMARCK MUN","UNITED STATES",14,76.4391
BITTENCOURT,BRAZIL,26,75.7333
BITUMOUNT,CANADA,66,74.0068
"BLACK RIVER FALLS AREA","UNITED STATES",13,76.4391
"BLACK TICKLE",CANADA,40,74.0068
BLACKBUSHE,"UNITED KINGDOM",160,83.8865
BLACKPOOL,"UNITED KINGDOM",52,83.8865
"BLANDING MUN","UNITED STATES",39,76.4391
BLANKENSEE,GERMANY,107,76.3204
"BLOCK ISLAND STATE","UNITED STATES",27,76.4391
BLOEMFONTEIN,"SOUTH AFRICAN REP",40,80.1429
BLOMBERG-BORKHAUSEN,GERMANY,227,76.3204
BLONDUOS,ICELAND,147,79.7143
"BLOODVEIN RIVER",CANADA,199,74.0068
"BLUE CANYON-NYACK","UNITED STATES",27,76.4391
"BLUE GRASS","UNITED STATES",39,76.4391
"BLUE RIDGE","UNITED STATES",147,76.4391
"BLUE RIVER",CANADA,41,74.0068
BLUMBERG,GERMANY,66,76.3204
BLUMENAU,BRAZIL,66,75.7333
BLYTHE,"UNITED STATES",160,76.4391
"BLYTHEVILLE MUN","UNITED STATES",52,76.4391
BO,"SIERRA LEONE",39,59.8333
BOBO-DIOULASSO,"BURKINA FASO",27,73.3571
"BOCA RATON","UNITED STATES",26,76.4391
"BOCCADIFALCO MIL",ITALY,41,76.5375
BODMIN,"UNITED KINGDOM",133,83.8865
"BOGUE MCALF","UNITED STATES",93,76.4391
BOHLEN,GERMANY,92,76.3204
BOKADA,CONGO,27,81.3408
BOKEBERG,SWEDEN,39,74.0865
BOKELA,CONGO,40,81.3408
BOKORO,CHAD,160,74.0714
BOKUNGU,CONGO,93,81.3408
BOLILA,CONGO,186,81.3408
BOLIVAR,ARGENTINA,40,67.1549
BOLIVAR,VENEZUELA,147,76.5405
BOLONGONKELE,CONGO,133,81.3408
BOLTON,"UNITED STATES",41,76.4391
"BOM JESUS",BRAZIL,40,75.7333
BOMA,CONGO,53,81.3408
"BOMAR-SHELBYVILLE MUN","UNITED STATES",94,76.4391
"BOMOEN AB",NORWAY,40,77.7021
BONAVENTURE,CANADA,120,74.0068
BONG,"UNITED STATES",53,76.4391
BONGIMBA,CONGO,39,81.3408
BONKITA,CONGO,106,81.3408
BONTHE,"SIERRA LEONE",147,59.8333
BOOKER,"UNITED KINGDOM",26,83.8865
"BOONE CO","UNITED STATES",93,76.4391
"BOONE MUN","UNITED STATES",118,76.4391
BOPFINGEN,GERMANY,40,76.3204
BOQUIRA,BRAZIL,27,75.7333
BOR,SUDAN,53,71.5357
BORDELUM,GERMANY,79,76.3204
"BORDJ MOKHTAR",ALGERIA,40,71.6875
"BORG EL ARAB INTL",EGYPT,279,80.6842
"BORGO PANIGALE",ITALY,106,76.5375
BORKENBERGE,GERMANY,14,76.3204
"BORLANGE AB",SWEDEN,13,74.0865
BOSASO,SOMALIA,66,76.2500
BOSCOMANTICO,ITALY,39,76.5375
BOSONDJO,CONGO,93,81.3408
BOSSANGOA,"CENTRAL AFRICAN REP",92,104.2222
BOST,AFGHANISTAN,107,81.5000
"BOSTON BROOK",CANADA,27,74.0068
BOTHAVILLE,"SOUTH AFRICAN REP",39,80.1429
BOTUCATU,BRAZIL,40,75.7333
BOUAKE,"IVORY COAST",81,64.5333
"BOULDER JUNCTION","UNITED STATES",40,76.4391
"BOUNDARY BAY",CANADA,67,74.0068
BOUNDIALI,"IVORY COAST",26,64.5333
"BOURG-ST BERNARD",FRANCE,40,76.2206
BOURKE,AUSTRALIA,41,54.9680
BOURN,"UNITED KINGDOM",200,83.8865
BOURNEMOUTH,"UNITED KINGDOM",80,83.8865
"BOURSCHEID ARMY",FRANCE,53,76.2206
BOWERMAN,"UNITED STATES",157,76.4391
"BOWMAN MUN","UNITED STATES",67,76.4391
BOWMAN,"UNITED STATES",39,76.4391
BOZOUM,"CENTRAL AFRICAN REP",53,104.2222
"BRAC ISLAND",CROATIA,119,83.2857
"BRADLEY INTL","UNITED STATES",133,76.4391
BRAEBURN,CANADA,40,74.0068
BRAGA,PORTUGAL,53,69.0476
BRANCHES,FRANCE,53,76.2206
BRANDENSTEINSEBENE,GERMANY,27,76.3204
"BRANDON MUNI",CANADA,53,74.0068
BRANTFORD,CANADA,53,74.0068
BRASILEIA,BRAZIL,108,75.7333
"BRASSCHAAT ARMY",BELGIUM,66,83.4762
BRATSK,RUSSIA,106,74.4237
BRECLAV,CZECH,79,79.4242
BREITSCHEID,GERMANY,40,76.3204
BREMEN,GERMANY,54,76.3204
BREMERHAVEN,GERMANY,40,76.3204
"BREMERTON NATL","UNITED STATES",27,76.4391
BREMGARTEN,GERMANY,66,76.3204
BRENNER,"UNITED STATES",106,76.4391
BRESSO,ITALY,53,76.5375
BREST,BELARUS,106,103.8571
BRETIGNY-SUR-ORGE,FRANCE,40,76.2206
BREVES,BRAZIL,54,75.7333
BRIA,"CENTRAL AFRICAN REP",119,104.2222
BRIDGEWATER,"UNITED STATES",26,76.4391
BRIE-CHAMPNIERS,FRANCE,147,76.2206
"BRIG GEN D BARTOLOME DE LA CO*",ARGENTINA,120,67.1549
"BRIGHAM CITY","UNITED STATES",198,76.4391
"BRILON/ HOCHSAUERLAND",GERMANY,53,76.3204
BRINDAS,FRANCE,133,76.2206
BRINGELAND,NORWAY,27,77.7021
BRISTOL,"UNITED KINGDOM",40,83.8865
BRITS,"SOUTH AFRICAN REP",93,80.1429
"BRITTON MUN","UNITED STATES",65,76.4391
"BRIZE NORTON AB","UNITED KINGDOM",79,83.8865
BROADUS,"UNITED STATES",146,76.4391
BROCHET,CANADA,40,74.0068
"BROCKVILLE-THOUSAND ISL REG",CANADA,93,74.0068
"BROKEN BOW MUN","UNITED STATES",133,76.4391
BROMMA,SWEDEN,67,74.0865
BRON,FRANCE,133,76.2206
BRONKOW,GERMANY,28,76.3204
BRONNOY,NORWAY,145,77.7021
"BRONSON CREEK",CANADA,40,74.0068
BRONZEWING,AUSTRALIA,26,54.9680
BROOKERIDGE,"UNITED STATES",79,76.4391
BROOKHAVEN,"UNITED STATES",172,76.4391
"BROOKINGS MUN","UNITED STATES",106,76.4391
BROOKS,CANADA,174,74.0068
BROOKS,"UNITED STATES",119,76.4391
"BROOME INTL",AUSTRALIA,81,54.9680
BROUGH,"UNITED KINGDOM",158,83.8865
BROUMOV,CZECH,107,79.4242
"BROWN CO","UNITED STATES",52,76.4391
"BROWNSVILLE/ SOUTH PADRE I INT","UNITED STATES",66,76.4391
"BRUNSWICK CO","UNITED STATES",53,76.4391
"BRUNSWICK GOLDEN ISLES","UNITED STATES",26,76.4391
"BRUNSWICK NAS","UNITED STATES",53,76.4391
"BRUSSELS SOUTH",BELGIUM,54,83.4762
BRYAN,"UNITED STATES",66,76.4391
BRYANSK,RUSSIA,147,74.4237
"BRYCE CANYON","UNITED STATES",79,76.4391
BUBOVICE,CZECH,65,79.4242
"BUCHOLZ AAF","MARSHALL IS",13,13.0000
"BUCKEBURG ARMY",GERMANY,53,76.3204
BUCKLAND,"UNITED STATES",94,76.4391
"BUCKLEY AFB","UNITED STATES",66,76.4391
BUDIARTO,INDONESIA,54,78.4483
BUENAVENTURA,COLOMBIA,106,88.6667
"BUENOS AIRES DE OSA","COSTA RICA",66,80.3913
"BUFFALO MUN","UNITED STATES",53,76.4391
"BUFFALO NARROWS",CANADA,13,74.0068
"BUFFALO NIAGARA INTL","UNITED STATES",39,76.4391
BUHASA,"UNITED ARAB EMIRATES",27,63.7778
BUHL,FRANCE,13,76.2206
BUHLHOF,GERMANY,174,76.3204
"BUJUMBURA INTL",BURUNDI,54,75.6667
BUKENA,CONGO,66,81.3408
BUKHARA,UZBEKISTAN,53,43.5000
BUKOBA,TANZANIA,40,70.7027
"BULAGTAI RESORT",MONGOLIA,93,63.2727
"BULGAN SUM",MONGOLIA,26,63.2727
BULGAN,MONGOLIA,53,63.2727
BUMBA,CONGO,81,81.3408
BUNDABERG,AUSTRALIA,53,54.9680
BUNGOMA,KENYA,160,79.7407
"BUNO BONNEVAUX",FRANCE,120,76.2206
BUONMATHUOT,VIETNAM,80,78.1250
"BURA EAST",KENYA,147,79.7407
BURAO,SOMALIA,132,76.2500
"BURG FEUERSTEIN",GERMANY,40,76.3204
BURGAS,BULGARIA,40,33.2500
"BURITI ALEGRE",BRAZIL,94,75.7333
"BURKE CO","UNITED STATES",27,76.4391
"BURKE LAKEFRONT","UNITED STATES",93,76.4391
"BURLEY MUN","UNITED STATES",52,76.4391
"BURLINGTON INTL","UNITED STATES",40,76.4391
"BURLINGTON-ALAMANCE REGL","UNITED STATES",27,76.4391
"BURNETT CO","UNITED STATES",66,76.4391
"BURNS LAKE",CANADA,40,74.0068
"BURNS MUN","UNITED STATES",94,76.4391
BURWASH,CANADA,95,74.0068
BUSALA,CONGO,79,81.3408
BUSEVEC,CROATIA,119,83.2857
BUSHEHR,IRAN,78,80.8400
BUSIA,KENYA,39,79.7407
BUSSELTON,AUSTRALIA,105,54.9680
BUTARE,RWANDA,280,123.0000
BUTA-ZEGA,CONGO,66,81.3408
"BUTLER CO/ SCHOLTER","UNITED STATES",106,76.4391
"BUTLER MEML HOSPITAL","UNITED STATES",54,76.4391
"BUTTS AAF","UNITED STATES",106,76.4391
BUTUAN,PHILIPPINES,53,60.6316
BUYANT-UKHAA,MONGOLIA,133,63.2727
CABALLOCOCHA,PERU,53,72.1833
CABINDA,ANGOLA,133,83.7143
"CABLE HEAD AIRPARK",CANADA,53,74.0068
"CABO FRIO",BRAZIL,79,75.7333
"CABO ROJO","DOMINICAN REPUBLIC",133,82.0000
"CABOOL MEML","UNITED STATES",67,76.4391
CACADOR,BRAZIL,214,75.7333
"CACAPAVA DO SUL",BRAZIL,53,75.7333
CACEQUI,BRAZIL,40,75.7333
CACERES,BRAZIL,13,75.7333
"CACHE CREEK",CANADA,54,74.0068
"CACHOEIRA DO SUL",BRAZIL,39,75.7333
"CACHOEIRO DO ITAPEMIRIM",BRAZIL,26,75.7333
CACOAL,BRAZIL,93,75.7333
CADOTTE,CANADA,93,74.0068
CAERNARFON,"UNITED KINGDOM",107,83.8865
CAETITE,BRAZIL,26,75.7333
"CAGAYAN DE ORO",PHILIPPINES,54,60.6316
CAICO,BRAZIL,27,75.7333
"CAIRNS AAF","UNITED STATES",79,76.4391
"CAIRO INTL",EGYPT,26,80.6842
"CAIRO REGL","UNITED STATES",53,76.4391
CAKOVEC,CROATIA,106,83.2857
CAKUNG,INDONESIA,106,78.4483
CALABAR,NIGERIA,67,65.6429
CALABOZO,VENEZUELA,39,76.5405
CALAMOCHA,SPAIN,27,83.8966
"CALAVERAS CO-RASMUSSEN","UNITED STATES",54,76.4391
CALBAYOG,PHILIPPINES,41,60.6316
CALCOENE,BRAZIL,39,75.7333
"CALDAS NOVAS",BRAZIL,40,75.7333
CALDEN,GERMANY,159,76.3204
CALDERA,CHILE,39,77.2857
"CALDWELL INDUSTRIAL","UNITED STATES",26,76.4391
"CALEXICO INTL","UNITED STATES",93,76.4391
"CALHOUN MEML","UNITED STATES",53,76.4391
"CALLAWAY GARDENS-HARRIS CO","UNITED STATES",94,76.4391
CALONNE,FRANCE,40,76.2206
CALVINIA,"SOUTH AFRICAN REP",39,80.1429
CAMANA,PERU,106,72.1833
"CAMBRIDGE BAY",CANADA,40,74.0068
"CAMBRIDGE MUN","UNITED STATES",27,76.4391
"CAMBRIDGE MUN","UNITED STATES",80,76.4391
CAMBRIDGE-DORCHESTER,"UNITED STATES",13,76.4391
"CAMILO DAZA INTL",COLOMBIA,68,88.6667
"CAMILO PONCE",ECUADOR,40,69.0800
CAMIRI,BOLIVIA,80,62.9474
CAMLY,VIETNAM,54,78.1250
CAMOCIM,BRAZIL,134,75.7333
"CAMP WAINWRIGHT",CANADA,26,74.0068
"CAMPBELL AAF","UNITED STATES",27,76.4391
"CAMPBELL CO","UNITED STATES",107,76.4391
"CAMPBELL RIVER",CANADA,107,74.0068
"CAMPBELL-CORSICANA MUN","UNITED STATES",93,76.4391
"CAMPINA VERDE",BRAZIL,94,75.7333
"CAMPO DELIO JARDIM DE MATTOS",BRAZIL,27,75.7333
"CAMPO DELL' ORO",FRANCE,54,76.2206
"CAMPO DO MEIO",BRAZIL,40,75.7333
"CAMPO FONTENELLE",BRAZIL,92,75.7333
"CAMPO GRANDE INTL",BRAZIL,146,75.7333
"CAMPO NOVO",BRAZIL,27,75.7333
"CAMPOFORMIDO MIL",ITALY,40,76.5375
"CAMPOS BELOS",BRAZIL,80,75.7333
CANAIMA,VENEZUELA,40,76.5405
"CANAKKALE AB",TURKEY,26,75.3191
"CANAL BAJO/ CARLOS H SIEBERT",CHILE,80,77.2857
CANARANA,BRAZIL,53,75.7333
CANDALA,SOMALIA,67,76.2500
CANDILLARGUES,FRANCE,81,76.2206
"CANEFIELD INTL",DOMINICA,52,53.0000
CANELA,BRAZIL,54,75.7333
CANGAPARA,BRAZIL,121,75.7333
"CANNON AFB","UNITED STATES",92,76.4391
CANTUNG,CANADA,79,74.0068
CANYONLANDS,"UNITED STATES",53,76.4391
"CAP DE AV SELIN ZEITUN LOPEZ",BOLIVIA,146,62.9474
"CAP HAITIEN INTL",HAITI,53,76.0000
"CAP. AV. JUAN COCHAMANIDIS SA*",BOLIVIA,40,62.9474
"CAP. D. JOSE D. VASQUEZ",ARGENTINA,53,67.1549
"CAPAO BONITO",BRAZIL,67,75.7333
"CAPAO DA CANOA",BRAZIL,93,75.7333
"CAPE GIRARDEAU REGL","UNITED STATES",79,76.4391
"CAPE LISBURNE LRRS","UNITED STATES",133,76.4391
"CAPE MAY CO","UNITED STATES",173,76.4391
"CAPE NEWENHAM LRRS","UNITED STATES",53,76.4391
"CAPE PALMAS",LIBERIA,133,66.7500
"CAPE SARICHEF","UNITED STATES",13,76.4391
"CAPE TOWN INTL","SOUTH AFRICAN REP",133,80.1429
CAPELINHA,BRAZIL,53,75.7333
"CAPITAL CITY","UNITED STATES",147,76.4391
"CAPITAN ALVARINO",PERU,120,72.1833
"CAPITAN FUENTES MARTINEZ",CHILE,93,77.2857
"CAPITAN GERMAN QUIROGA GUARDI*",BOLIVIA,53,62.9474
"CAPITAN MONTES",PERU,53,72.1833
"CAPITAN V. ALMANDOS ALMONACID",ARGENTINA,132,67.1549
"CAPODICHINO MIL",ITALY,40,76.5375
"CAPT GUILLERMO CONCHA IBERICO",PERU,53,72.1833
"CAPT ORIEL LEA PLAZA",BOLIVIA,13,62.9474
"CAPT THOMAS/ EL DORADO","UNITED STATES",54,76.4391
"CAPUA MIL",ITALY,106,76.5375
"CAR NICOBAR AB",INDIA,65,63.8654
CARACARAI,BRAZIL,39,75.7333
CARANO,COLOMBIA,39,88.6667
CARANSEBES,ROMANIA,40,71.6667
CARAUARI,BRAZIL,79,75.7333
CARAZINHO,BRAZIL,26,75.7333
"CARBON CO","UNITED STATES",133,76.4391
CARCROSS,CANADA,39,74.0068
"CARDAK AB",TURKEY,94,75.3191
"CARIBOU MUN","UNITED STATES",67,76.4391
CARIRI,BRAZIL,80,75.7333
"CARITAT AB",FRANCE,40,76.2206
"CARLOS IBANEZ DEL CAMPO INTL",CHILE,53,77.2857
"CARLOS M. CESPEDES",CUBA,94,67.4375
CARMACKS,CANADA,212,74.0068
"CARMELO INTL",URUGUAY,92,94.0833
"CARMEN DE BOLIVAR",COLOMBIA,53,88.6667
CARNARVON,"SOUTH AFRICAN REP",13,80.1429
CAROLINA,"SOUTH AFRICAN REP",66,80.1429
CAROLINA,BRAZIL,93,75.7333
"CARPI BUDRIONE",ITALY,40,76.5375
CARPIQUET,FRANCE,133,76.2206
"CARRASCO INTL/ GEN C L BERISSO",URUGUAY,53,94.0833
"CARRIEL SUR INTL",CHILE,54,77.2857
CARRILLO,"COSTA RICA",40,80.3913
"CARROLL CO REGL/ POAGE","UNITED STATES",80,76.4391
"CARROLL CO-TOLSON","UNITED STATES",133,76.4391
CARSAMBA,TURKEY,40,75.3191
CARTHAGE,TUNISIA,53,90.0000
CARTHAGO,SUDAN,26,71.5357
"CARTWRIGHT NWS",CANADA,52,74.0068
"CASA GRANDE MUN","UNITED STATES",132,76.4391
CASABLANCA,CHILE,40,77.2857
"CASALE MIL",ITALY,92,76.5375
"CASALE MONFERRATO",ITALY,26,76.5375
CASCAVEL,BRAZIL,105,75.7333
"CASEMENT AB",IRELAND,172,80.4737
"CASTELLON DE LA PLANA",SPAIN,107,83.8966
"CASTLE MILL","UNITED KINGDOM",53,83.8865
CASTOR,CANADA,186,74.0068
CASTRES-MAZAMET,FRANCE,27,76.2206
CASTRO,BRAZIL,68,75.7333
"CAT LAKE",CANADA,118,74.0068
CATALAO,BRAZIL,40,75.7333
CATAMARCA,ARGENTINA,80,67.1549
"CATARATAS INTL",BRAZIL,26,75.7333
CATARMAN,PHILIPPINES,187,60.6316
"CATOLE DO ROCHA",BRAZIL,66,75.7333
CAUAYAN,PHILIPPINES,13,60.6316
CAUCASIA,COLOMBIA,39,88.6667
CAUMONT,FRANCE,66,76.2206
"CAVERN CITY","UNITED STATES",67,76.4391
CAXAMBU,BRAZIL,41,75.7333
CAXIAS,BRAZIL,40,75.7333
CAYCUMA,TURKEY,40,75.3191
"CAYLEY/ A. J. FLYING RANCH",CANADA,80,74.0068
"CAYO COCO",CUBA,40,67.4375
"CDTE.GUILLERMO D CASTILLO PAR.",PERU,40,72.1833
"CEDAR RIDGE","UNITED STATES",79,76.4391
CENTENNIAL,"UNITED STATES",119,76.4391
"CENTERVILLE MUN","UNITED STATES",66,76.4391
"CENTRAL ILL REGL","UNITED STATES",67,76.4391
"CENTRAL MAINE APT OF NORRIDGE*","UNITED STATES",40,76.4391
"CENTRAL NEBRASKA REGL","UNITED STATES",92,76.4391
CEPIN,CROATIA,40,83.2857
CERES,ARGENTINA,80,67.1549
CERES,BRAZIL,53,75.7333
CERRIONE,ITALY,40,76.5375
"CERRO LARGO INTL",URUGUAY,53,94.0833
"CERRO MORENO INTL",CHILE,67,77.2857
"CESKA LIPA",CZECH,26,79.4242
"CESSNA AIRCRAFT","UNITED STATES",53,76.4391
CEYZERIAT,FRANCE,40,76.2206
CHABEUIL,FRANCE,40,76.2206
"CHACALLUTA INTL",CHILE,14,77.2857
CHACARITA,"COSTA RICA",66,80.3913
CHACHAPOYAS,PERU,93,72.1833
"CHACKLALA INTL",PAKISTAN,54,53.9500
"CHAFEI AMSEI",BRAZIL,13,75.7333
"CHAIN MUN","UNITED STATES",80,76.4391
CHAITEN,CHILE,80,77.2857
CHAITEN,CHILE,67,77.2857
"CHAKE CHAKE",TANZANIA,106,70.7027
"CHAKERI AB",INDIA,40,63.8654
CHAKHCHARAN,AFGHANISTAN,53,81.5000
CHALAIS,FRANCE,53,76.2206
CHALANCON,FRANCE,40,76.2206
CHALGROVE,"UNITED KINGDOM",40,83.8865
CHALLES-LES-EAUX,FRANCE,27,76.2206
CHAMBRY,FRANCE,66,76.2206
CHAMICAL,ARGENTINA,120,67.1549
CHAMONATE,CHILE,93,77.2857
CHAMPHOL,FRANCE,39,76.2206
"CHANDALAR LAKE","UNITED STATES",54,76.4391
"CHANDIGARH AB",INDIA,54,63.8654
"CHANDLER MUN","UNITED STATES",94,76.4391
"CHANDLER MUN","UNITED STATES",53,76.4391
