name,city,country,qty_flights,qty_airlines
CORCORAN,CORCORAN,"UNITED STATES",80,2
CORK,CORK,IRELAND,147,3
CORMEILLES-EN-VEXIN,PONTOISE,FRANCE,119,3
"CORNWALL REGL",CORNWALL,CANADA,81,2
COROATA,COROATA,BRAZIL,80,2
"CORONA MUN",CORONA,"UNITED STATES",281,5
"CORPUS CHRISTI INTL","CORPUS CHRISTI","UNITED STATES",146,2
"CORVALLIS MUN",CORVALLIS,"UNITED STATES",133,3
CORVO,CORVO,AZORES,239,4
"COUNCIL BLUFFS MUN","COUNCIL BLUFFS","UNITED STATES",94,2
COURBESSAC,NIMES,FRANCE,185,4
COURMELLES,SOISSONS,FRANCE,132,2
COURTENAY,COURTENAY,CANADA,94,2
COUSINS,WHITEHORSE,CANADA,80,2
COUTERNE,"BAGNOLES DE L'ORNE",FRANCE,120,2
COVILHA,COVILHA,PORTUGAL,119,2
COXIM,COXIM,BRAZIL,119,3
CRAIG,SELMA,"UNITED STATES",94,2
CRANFIELD,CRANFIELD,"UNITED KINGDOM",94,2
CRATEUS,CRATEUS,BRAZIL,108,3
"CRAVO NORTE","CRAVO NORTE",COLOMBIA,118,2
"CRAWFORD BAY","CRAWFORD BAY",CANADA,79,2
"CRETE MUN",CRETE,"UNITED STATES",92,1
"CROOKSTON MUN-KIRKWOOD",CROOKSTON,"UNITED STATES",161,3
"CROSS CITY","CROSS CITY","UNITED STATES",120,2
"CROSSVILLE MEML-WHITSON",CROSSVILLE,"UNITED STATES",80,1
"CROWN POINT",SCARBOROUGH,TRINIDAD,147,3
CUAUHTEMOC,"CIUDAD MANTE",MEXICO,171,3
"CUDWORTH MUNI",CUDWORTH,CANADA,105,2
CUERNAVACA,CUERNAVACA,MEXICO,199,3
"CULDROSE NAVY",CULDROSE,"UNITED KINGDOM",160,3
"CURUZU CUATIA","CURUZU CUATIA",ARGENTINA,172,3
"CUSTER CO",CUSTER,"UNITED STATES",80,2
"D.CASIMIRO SZLAPELIS","ALTO RIO SENGUERR",ARGENTINA,92,2
DABO,SINGKEP,INDONESIA,146,2
DACHAU-GROBENRIED,DACHAU-GROBENRIED,GERMANY,80,2
DAHARA,TIMBEDRA,MAURITANIA,81,2
"DAHLEMER BINZ","DAHLEMER BINZ",GERMANY,80,2
"DALLAS-FT WORTH INTL","DALLAS-FT WORTH","UNITED STATES",239,5
DALOA,DALOA,"IVORY COAST",106,2
DAMAZIN,DAMAZIN,SUDAN,79,1
"DANANG INTL",DANANG,VIETNAM,92,2
DARGAVILLE,DARGAVILLE,"NEW ZEALAND",107,2
DAROIS,DIJON,FRANCE,224,5
DARWAZ,DARWAZ,AFGHANISTAN,105,2
DASHOGUZ,DASHOGUZ,TURKMENISTAN,120,2
"DAVENPORT MUN",DAVENPORT,"UNITED STATES",107,2
"DAVIDSON MUNI",DAVIDSON,CANADA,79,1
DAVIDSON,VERMILLION,"UNITED STATES",105,2
"DAVISON AAF","FT BELVOIR","UNITED STATES",91,3
DAWADMI,DAWADMI,"SAUDI ARABIA",147,3
"DAWSON CREEK","DAWSON CREEK",CANADA,105,2
DAYRESTAN,"GHESHM ISLAND",IRAN,93,2
DEADHORSE,DEADHORSE,"UNITED STATES",212,4
"DEADMANS CAY","LONG I",BAHAMAS,120,1
DEBOLT,DEBOLT,CANADA,79,1
"DECATUR HI-WAY",DECATUR,"UNITED STATES",79,1
"DECORAH MUN",DECORAH,"UNITED STATES",132,2
"DEERING (NEW)",DEERING,"UNITED STATES",120,2
DEGGENDORF,DEGGENDORF,GERMANY,173,3
DEKESE,DEKESE,CONGO,119,2
"DEL CARIBE INTL GEN SANT/ MARI",MARGARITA,VENEZUELA,92,2
"DELANO MUN",DELANO,"UNITED STATES",200,3
DELAREYVILLE,DELAREYVILLE,"SOUTH AFRICAN REP",159,2
DENDRON,DENDRON,"SOUTH AFRICAN REP",92,2
"DEPATI AMIR","DEPATI AMIR",INDONESIA,133,2
DERBY,DERBY,"UNITED KINGDOM",92,2
DERBY,DERBY,AUSTRALIA,80,1
"DETROIT LAKES-WETHING","DETROIT LAKES","UNITED STATES",240,5
"DETROIT METRO WAYNE CO",DETROIT,"UNITED STATES",120,2
DEURNE,ANTWERP,BELGIUM,92,2
"DEZFUL AB",DEZFUL,IRAN,93,2
DHANGADHI,DHANGADHI,NEPAL,80,1
DIBOKO,DIBOKO,CONGO,144,3
DIERRE,AMBOISE,FRANCE,79,2
DIFFA,DIFFA,NIGER,188,4
DIGNANGAN,SIKASSO,MALI,160,4
DIKHIL,DIKHIL,DJIBOUTI,79,2
"DILLON CO",DILLON,"UNITED STATES",80,1
"DIMBOKRO VILLE",DIMBOKRO,"IVORY COAST",80,1
DINGELE,DINGELE,CONGO,172,3
DINSMORE,DINSMORE,CANADA,106,2
"DINWIDDIE CO",PETERSBURG,"UNITED STATES",107,2
"DIONISIO CERQUEIRA","DIONISIO CERQUEIRA",BRAZIL,120,3
"DIONYSIOS SOLOMOS",ZAKINTHOS,GREECE,159,3
DIRKOU,DIRKOU,NIGER,107,2
DIVINOPOLIS,DIVINOPOLIS,BRAZIL,79,2
DIVISAO,DIAMANTINO,BRAZIL,119,3
DJAMBALA,DJAMBALA,CONGO,80,2
DJOKELE,DJOKELE,CONGO,80,2
"DODGE CITY REGL","DODGE CITY","UNITED STATES",80,2
DOGNEVILLE,EPINAL,FRANCE,93,3
DOGONDOUTCHI,DOGONDOUTCHI,NIGER,133,2
DOMERAT,MONTLUCON,FRANCE,147,3
DONAUWORTH-GENDERKINGEN,DONAUWORTH-GENDERKINGEN,GERMANY,95,2
DONNELLY,DONNELLY,CANADA,93,2
DORNBIRN,HOHENEMS,AUSTRIA,145,3
"DOSHAN TAPPEH AB",TEHRAN,IRAN,120,3
DOSSO,DOSSO,NIGER,120,3
DOUALA,DOUALA,CAMEROON,120,2
"DOUGLAS LAKE","DOUGLAS LAKE",CANADA,79,3
"DOUGLAS MUN",DOUGLAS,"UNITED STATES",80,1
DOUZY,SEDAN,FRANCE,186,3
DRACHTEN,DRACHTEN,NETHERLANDS,92,2
DRAKE,FAYETTEVILLE,"UNITED STATES",79,1
DRESDEN,DRESDEN,GERMANY,159,4
DRUMMONDVILLE,ST-NICEPHORE,CANADA,82,2
"DU ROCHER-PERCE (PABOK)","PETIT PABOS",CANADA,93,2
DUNKESWELL,DUNKESWELL,"UNITED KINGDOM",94,2
DUSSELDORF,DUSSELDORF,GERMANY,80,2
"DUTCHESS CO",POUGHKEEPSIE,"UNITED STATES",120,2
"DVUR KRALOVE","DVUR KRALOVE",CZECH,132,2
DWAALBOOM,DWAALBOOM,"SOUTH AFRICAN REP",80,2
DWIGHT,DWIGHT,"UNITED STATES",106,2
DYCE,ABERDEEN,"UNITED KINGDOM",79,2
"E T JOSHUA",KINGSTOWN,"ST VINCENT",146,3
"EAGLE CO REGL",EAGLE,"UNITED STATES",120,2
"EARLTON (TIMISKAMING REG'L)",EARLTON,CANADA,105,2
"EAST HAMPTON","EAST HAMPTON","UNITED STATES",106,2
"EAST LONDON","EAST LONDON","SOUTH AFRICAN REP",107,2
"EASTLAND MUN",EASTLAND,"UNITED STATES",80,1
EASTLEIGH,NAIROBI,KENYA,119,2
"EASTON STATE",EASTON,"UNITED STATES",81,3
"EASTON/ NEWNAM",EASTON,"UNITED STATES",160,3
"EDDIB V7","EDDIB V7",LIBYA,186,4
EDSON,EDSON,CANADA,79,3
EELDE,GRONINGEN,NETHERLANDS,105,1
EGELSBERG,KREFELD,GERMANY,79,3
EGLETONS,EGLETONS,FRANCE,92,2
"EGLIN AFB",VALPARAISO,"UNITED STATES",106,2
EIL,EIL,SOMALIA,200,3
EKSHARAD,EKSHARAD,SWEDEN,93,2
"EL BERRIEL","EL BERRIEL","CANARY IS",93,2
"EL BOLSON","EL BOLSON",ARGENTINA,120,3
"EL BORMA","EL BORMA",TUNISIA,92,2
"EL EDEN",ARMENIA,COLOMBIA,78,2
"EL FASHER","EL FASHER",SUDAN,134,3
"EL JADIDA","EL JADIDA",MOROCCO,146,3
"EL LOA",CALAMA,CHILE,120,3
"EL MANZANO","MARINA DE RAPEL",CHILE,279,5
"EL NAHUD","EL NAHUD",SUDAN,79,2
"EL PASO INTL","EL PASO","UNITED STATES",185,4
"EL SALAR","SALAR DE ATACAMA",CHILE,92,2
"EL SALVADOR BAJO","EL SALVADOR",CHILE,145,3
"EL TANQUE",ARENAL,"COSTA RICA",120,3
"EL TEHUELCHE","PUERTO MADRYN",ARGENTINA,94,3
"EL TROMPILLO","SANTA CRUZ",BOLIVIA,93,2
ELBLAG,ELBLAG,POLAND,119,3
ELCHINGEN,AALEN-HEIDENHEIM,GERMANY,145,2
ELISTA,ELISTA,RUSSIA,94,2
"ELIZABETH CITY CGAS/ REGL","ELIZABETH CITY","UNITED STATES",94,2
"ELK CITY MUN","ELK CITY","UNITED STATES",93,2
"ELKHART MUN",ELKHART,"UNITED STATES",95,2
"ELLSWORTH AFB","RAPID CITY","UNITED STATES",212,4
ELLWANGEN,ELLWANGEN,GERMANY,93,2
ELMSETT,ELMSETT,"UNITED KINGDOM",131,3
"ELOY ALFARO INTL",MANTA,ECUADOR,106,2
ELSTREE,ELSTREE,"UNITED KINGDOM",159,4
ELZ,ELZ,GERMANY,92,2
EMBARRAS,EMBARRAS,CANADA,107,2
"EMMETSBURG MUN",EMMETSBURG,"UNITED STATES",92,2
EMSDALE,EMSDALE,CANADA,79,2
"ENID WOODRING REGL",ENID,"UNITED STATES",80,1
"ENRIQUE ADOLFO JIMENEZ",COLON,PANAMA,132,2
ENTZHEIM,STRASBOURG,FRANCE,146,3
EPISY,MORET,FRANCE,120,2
EPITALION,EPITALION,GREECE,147,3
ERDEMIR,EREGLI,TURKEY,80,2
ERDENET,ERDENET,MONGOLIA,119,2
"ERHAC AB",MALATYA,TURKEY,188,3
ERROL,ERROL,"UNITED STATES",80,3
"ES SENIA",ORAN,ALGERIA,360,6
ESCHENDORF,RHEINE,GERMANY,145,2
"ESKILSTUNA AB",ESKILSTUNA,SWEDEN,106,3
ESPINHO,ESPINHO,PORTUGAL,80,1
ESPLANADA,ESPLANADA,BRAZIL,78,2
ESSIDER,ESSIDER,LIBYA,133,3
ESTCOURT,ESTCOURT,"SOUTH AFRICAN REP",160,2
ESTERHAZY,ESTERHAZY,CANADA,120,2
"ESTHERVILLE MUN",ESTHERVILLE,"UNITED STATES",93,2
ETREPAGNY,ETREPAGNY,FRANCE,106,2
"EVANSVILLE REGL",EVANSVILLE,"UNITED STATES",106,2
"F.D. ROOSEVELT","ST EUSTATIUS I","NETH ANTILLES",104,2
"FABIO A LEON BENTLEY",MITU,COLOMBIA,106,2
"FADA N'GOURMA","FADA N'GOURMA","BURKINA FASO",93,2
FADA,FADA,CHAD,93,2
FAGERHULT,FAGERHULT,SWEDEN,80,1
"FAIR ISLE","FAIR ISLE","UNITED KINGDOM",120,2
"FAIRBANKS INTL",FAIRBANKS,"UNITED STATES",108,2
"FAIRFIELD CO",LANCASTER,"UNITED STATES",106,3
"FAIRFIELD MUN",FAIRFIELD,"UNITED STATES",108,2
"FAIRMONT STATE",FAIRMONT,"UNITED STATES",119,2
FAIROAKS,FAIROAKS,"UNITED KINGDOM",108,2
"FAISALABAD INTL",FAISALABAD,PAKISTAN,106,2
FALCON,MESA,"UNITED STATES",200,3
"FALLON MUN",FALLON,"UNITED STATES",121,2
FANO,FANO,ITALY,145,3
FARFAN,TULUA,COLOMBIA,106,2
"FARMINGTON REGL",FARMINGTON,"UNITED STATES",108,2
FARRANFORE,KERRY,IRELAND,80,1
"FAUVILLE AB",EVREUX,FRANCE,79,2
FAYENCE,FAYENCE,FRANCE,105,2
"FAYETTEVILLE REGL/ GRANNIS",FAYETTEVILLE,"UNITED STATES",146,3
FENLAND,FENLAND,"UNITED KINGDOM",133,3
FENOSU,ORISTANO,ITALY,105,2
"FENTRESS NALF",FENTRESS,"UNITED STATES",119,2
FERCHESAR,STECHOW,GERMANY,80,1
"FERGUSON'S GULF",KALOKOL,KENYA,106,2
"FERIT MELEN",VAN,TURKEY,94,2
FIANARANTSOA,FIANARANTSOA,MADAGASCAR,225,4
FIFE,FIFE,"UNITED KINGDOM",120,2
"FIGARI/ SUD CORSE","FIGARI/ SUD CORSE",FRANCE,107,2
"FILLMORE CO",PRESTON,"UNITED STATES",92,2
"FINCA 63","FINCA 63","COSTA RICA",79,1
"FINSCH MINE","LIME ACRES","SOUTH AFRICAN REP",107,2
FINTHEN,MAINZ,GERMANY,135,3
"FIRQ AB",FIRQ,OMAN,121,2
FISANTEKRAAL,FISANTEKRAAL,"SOUTH AFRICAN REP",93,2
"FITZGERALD MUN",FITZGERALD,"UNITED STATES",108,2
"FITZROY CROSSING","FITZROY CROSSING",AUSTRALIA,79,2
FLETCHER,CLARKSDALE,"UNITED STATES",132,3
"FLORA MUN",FLORA,"UNITED STATES",133,2
"FLORENNES AB",FLORENNES,BELGIUM,131,3
"FLORIDA KEYS MARATHON",MARATHON,"UNITED STATES",174,4
FLORO,FLORO,NORWAY,80,1
FONTANAROSSA,CATANIA,ITALY,80,2
FONTANGES,FONTANGES,CANADA,199,4
FONTAS,FONTAS,CANADA,186,3
"FORMIGA APT",FORMIGA,BRAZIL,106,2
"FORTE PRINCIPE DA BEIRA","COSTA MARQUES",BRAZIL,120,2
FOSS,"SIOUX FALLS","UNITED STATES",119,2
"FRANCISCO DE ORELLANA",COCA,ECUADOR,147,3
"FRANCISCO MENDES",PRAIA,"CAPE VERDE",94,2
"FRANKFORT MUN",FRANKFORT,"UNITED STATES",92,2
FRANKFURT-HAHN,FRANKFURT-HAHN,GERMANY,225,4
"FREDERICK MUN",FREDERICK,"UNITED STATES",106,2
FREEWAY,FREEWAY,"SOUTH AFRICAN REP",133,2
"FREIBURG/ BREISGAU","FREIBURG/ BREISGAU",GERMANY,172,3
FROTEY,VESOUL,FRANCE,108,2
"FT ALBANY","FT ALBANY",CANADA,107,2
"FT BRIDGER","FT BRIDGER","UNITED STATES",159,3
"FT FRANCES MUN","FT FRANCES",CANADA,81,2
"FT LIARD","FT LIARD",CANADA,94,2
"FT MACLEOD","FT MACLEOD",CANADA,95,2
"FT MC PHERSON","FT MC PHERSON",CANADA,185,3
"FT PROVIDENCE","FT PROVIDENCE",CANADA,133,2
"FT SMITH REGL","FT SMITH","UNITED STATES",95,3
"FT SMITH","FT SMITH",CANADA,79,2
"FT WORTH SPINKS","FT WORTH","UNITED STATES",107,2
"FULTON CO",ROCHESTER,"UNITED STATES",133,2
FURATENA,QUIPAMA,COLOMBIA,160,3
FUTALEUFU,FUTALEUFU,CHILE,78,2
"FUTENMA MCAS","OKINAWA I",JAPAN,78,2
FYRESDAL,FYRESDAL,NORWAY,132,3
GABBS,GABBS,"UNITED STATES",133,2
"GAINESVILLE MUN",GAINESVILLE,"UNITED STATES",171,4
"GAINESVILLE REGL",GAINESVILLE,"UNITED STATES",133,3
"GALBRAITH LAKE","GALBRAITH LAKE","UNITED STATES",119,2
GALEGU,DINDER,SUDAN,79,2
GANGNEUNG,GANGNEUNG,KOREA,81,2
GARANHUNS,GARANHUNS,BRAZIL,106,2
GARDABIYA,SIRTE,LIBYA,173,3
GARDELEGEN,GARDELEGEN,GERMANY,198,4
GARDO,GARDO,SOMALIA,105,2
GARIBALDI,GARIBALDI,BRAZIL,79,2
GAROUA,GAROUA,CAMEROON,145,3
"GARY/ CHICAGO",GARY,"UNITED STATES",79,1
"GATLINBURG-PIGEON FORGE",SEVIERVILLE,"UNITED STATES",186,3
GATWICK,LONDON,"UNITED KINGDOM",159,4
"GAZIEMIR AB",IZMIR,TURKEY,80,1
GBADO,GBADO,CONGO,93,1
"GEN FRANCISCO JAVIER MINA",TAMPICO,MEXICO,80,2
"GEN FRANCISCO MIRANDA AB",CARACAS,VENEZUELA,132,3
"GEN JOSE FRANCISCO BERMUDEZ",CARUPANO,VENEZUELA,107,2
"GEN LUCIO BLANCO",REYNOSA,MEXICO,120,2
"GEN MARIANO ESCOBEDO INTL",MONTERREY,MEXICO,80,2
"GEN NAVAS PARDO",CHAPARRAL,COLOMBIA,107,2
"GEN RODOLFO SANCHEZ TABOADA",MEXICALI,MEXICO,80,2
"GEN ULPIANO PAEZ",SALINAS,ECUADOR,79,1
"GENERAL ALVEAR","GENERAL ALVEAR",ARGENTINA,120,2
"GENERAL DE BRIGADA ANACLETO MA",FLORES,GUATEMALA,119,2
"GENERAL PICO","GENERAL PICO",ARGENTINA,107,3
"GENERAL RIVADENEIRA",TACHINA,ECUADOR,79,1
"GENTIO DE OURO","GENTIO DE OURO",BRAZIL,93,2
GEORGE,GEORGE,"SOUTH AFRICAN REP",135,3
"GERRARD-SMITH INTL","CAYMAN BRAC","CAYMAN IS",79,1
GHANZI,GHANZI,BOTSWANA,120,2
"GHEDI MIL",GHEDI,ITALY,93,3
GHINNIR,GHINNIR,ETHIOPIA,79,2
GIARMATA,TIMISOARA,ROMANIA,120,2
GILGIT,GILGIT,PAKISTAN,79,2
GILLESPIE,"SAN DIEGO","UNITED STATES",105,2
"GILLIES BAY",TEXADA,CANADA,133,2
"GIMHAE INTL",BUSAN,KOREA,121,3
"GIMPO INTL",SEOUL,KOREA,80,1
GISENYI,GISENYI,RWANDA,80,2
GITEGA,GITEGA,BURUNDI,106,2
"GLADWIN ZETTEL MEML",GLADWIN,"UNITED STATES",199,3
"GLASGOW MUN",GLASGOW,"UNITED STATES",158,3
GLASGOW,GLASGOW,"UNITED KINGDOM",108,2
"GLENWOOD MUN",GLENWOOD,"UNITED STATES",105,2
"GLENWOOD SPRINGS MUN","GLENWOOD SPRINGS","UNITED STATES",187,3
GLISY,AMIENS,FRANCE,121,2
GLIWICE,GLIWICE,POLAND,145,3
"GOBERNADOR CASTELLO",VIEDMA,ARGENTINA,107,3
"GOBERNADOR GREGORES","GOBERNADOR GREGORES",ARGENTINA,91,2
"GODS RIVER","GODS RIVER",CANADA,81,2
"GOETSENHOVEN AB",GOETSENHOVEN,BELGIUM,107,2
"GOLDEN TRIANGLE REGL","COLUMBUS-W POINT-STARKVILLE","UNITED STATES",105,2
GOLDEN,GOLDEN,CANADA,79,2
GOLDLAUTER,SUHL,GERMANY,81,2
GOLFITO,GOLFITO,"COSTA RICA",266,4
"GOMA INTL",GOMA,CONGO,93,2
GOMEL,GOMEL,BELARUS,199,3
"GONZALO MEJIA",TURBO,COLOMBIA,159,3
"GORDON LAKE","GORDON LAKE",CANADA,132,4
GORE,GORE,ETHIOPIA,107,2
GORLITZ,GORLITZ,GERMANY,119,2
"GOSHEN MUN",GOSHEN,"UNITED STATES",93,2
GOTARTOWICE,RYBNIK,POLAND,79,2
GOUNDAM,GOUNDAM,MALI,80,2
GOYONGO,GOYONGO,CONGO,93,2
GRAHAMSTOWN,GRAHAMSTOWN,"SOUTH AFRICAN REP",79,1
"GRAND FALLS","GRAND FALLS",CANADA,80,2
"GRAND FORKS INTL","GRAND FORKS","UNITED STATES",173,3
"GRAND RAPIDS/ ITASCA CO-NEWSTR","GRAND RAPIDS","UNITED STATES",107,2
"GRAND STRAND","NORTH MYRTLE BEACH","UNITED STATES",105,2
GRANDE,GRANDE,CANADA,226,4
GRANDES-BERGERONNES,GRANDES-BERGERONNES,CANADA,187,4
"GRANT MUN",GRANT,"UNITED STATES",175,3
"GRATIOT COMMUNITY",ALMA,"UNITED STATES",197,4
GRAVELBOURG,GRAVELBOURG,CANADA,120,2
GRAZ,GRAZ,AUSTRIA,79,2
"GRAZZANISE MIL",GRAZZANISE,ITALY,133,3
"GREAT BEAR LAKE","GREAT BEAR LAKE",CANADA,118,3
"GREAT FALLS INTL","GREAT FALLS","UNITED STATES",79,1
"GREATER MONCTON INTL",MONCTON,CANADA,119,2
"GREATER ROCHESTER INTL",ROCHESTER,"UNITED STATES",133,2
"GREATER ROCKFORD",ROCKFORD,"UNITED STATES",160,3
"GREELEY-WELD CO",GREELEY,"UNITED STATES",120,3
"GREENFIELD MUN",GREENFIELD,"UNITED STATES",107,2
"GREENLEE CO",CLIFTON-MORENCI,"UNITED STATES",121,2
"GREENWOOD CO",GREENWOOD,"UNITED STATES",147,2
"GRENADA MUN",GRENADA,"UNITED STATES",132,2
GRENFELL,GRENFELL,CANADA,145,3
GREYTOWN,GREYTOWN,"SOUTH AFRICAN REP",133,2
GRIMSBY,GRIMSBY,CANADA,107,2
"GRIST LAKE","GRIST LAKE",CANADA,186,3
GRODNO,GRODNO,BELARUS,131,3
"GROSSE ILE MUN","DETROIT-GROSSE ILE","UNITED STATES",147,3
GROSSRUCKERSWALDE,GROSSRUCKERSWALDE,GERMANY,120,2
GRUBE,GRUBE,GERMANY,120,2
GRUYERES,GRUYERES,SWITZERLAND,106,2
"GUAM INTL",AGANA,GUAM,120,2
GUANAJUATO,GUANAJUATO,MEXICO,106,2
GUANARE,GUANARE,VENEZUELA,121,2
GUANGALI,"LA VINA",CHILE,106,2
"GUANTANAMO BAY NAS","GUANTANAMO BAY",CUBA,163,4
GUARATINGUETA,GUARATINGUETA,BRAZIL,197,4
"GUARULHOS INTL.","SAO PAULO",BRAZIL,145,3
GUELPH,GUELPH,CANADA,93,2
GUERNSEY,GUERNSEY,"UNITED KINGDOM",79,2
"GUIDONIA MIL",GUIDONIA,ITALY,94,2
GUIGLO,GUIGLO,"IVORY COAST",106,2
GUIMARAES,GUIMARAES,BRAZIL,148,4
GULKANA,GULKANA,"UNITED STATES",107,2
"GURNEY MUN",YANKTON,"UNITED STATES",120,3
"GUSTAVO ROJAS PINILLA","SAN ANDRES I","SAN ANDRES",80,1
GUTERSLOH,GUTERSLOH,GERMANY,107,2
"GUTHRIE MUN",GUTHRIE,"UNITED STATES",94,2
GUTTIN,GUTTIN,GERMANY,93,2
"GWADAR INTL",GWADAR,PAKISTAN,119,2
GWAKA,GWAKA,CONGO,134,2
"HABERSHAM CO",CORNELIA,"UNITED STATES",133,2
HACARITAMA,AGUACHICA,COLOMBIA,79,1
HADERSLEV,HADERSLEV,DENMARK,79,1
HAGFORS,HAGFORS,SWEDEN,200,4
HAGUENAU,HAGUENAU,FRANCE,213,4
HAIFA,HAIFA,ISRAEL,119,2
"HALIFAX INTL",HALIFAX,CANADA,80,2
"HALLI AB",HALLI,FINLAND,119,2
"HALLOCK MUN",HALLOCK,"UNITED STATES",147,4
"HALMSTAD AB",HALMSTAD,SWEDEN,172,3
HAMADAN,HAMADAN,IRAN,107,3
HAMEENKYRO,HAMEENKYRO,FINLAND,307,5
"HANAU AAF",HANAU,GERMANY,119,2
"HANG NADIM",BATAM,INDONESIA,94,2
HANGELAR,BONN,GERMANY,119,2
HANKSVILLE,HANKSVILLE,"UNITED STATES",106,2
HARDISTY,HARDISTY,CANADA,92,2
HARDWICK,CLEVELAND,"UNITED STATES",80,1
HARLE,HARLE,GERMANY,79,1
HARRELL,CAMDEN,"UNITED STATES",107,2
HASANUDDIN,"UJUNG PANDANG",INDONESIA,108,2
HASVIK,HASVIK,NORWAY,215,4
HATBOX,MUSKOGEE,"UNITED STATES",93,1
HATTEN,OLDENBURG,GERMANY,145,3
HAUKASEN,SOGNDAL,NORWAY,135,3
HAVADARYA,"BANDAR ABBASS",IRAN,148,3
HAVERFORDWEST,HAVERFORDWEST,"UNITED KINGDOM",93,1
"HAWKESBURY (EAST)",HAWKESBURY,CANADA,94,2
HAWKINS,JACKSON,"UNITED STATES",94,3
HAWTAH,HAWTAH,"SAUDI ARABIA",159,3
"HEARST MUN",HEARST,CANADA,94,3
"HEART OF GEORGIA REGL",EASTMAN,"UNITED STATES",80,1
HEATHROW,LONDON,"UNITED KINGDOM",159,3
"HEBER SPRINGS MUN","HEBER SPRINGS","UNITED STATES",81,2
HEIDENBERG,SCHWABACH,GERMANY,107,2
HELGESON,"TWO HARBORS","UNITED STATES",144,3
HELMET,"HELMET GAS PLANT",CANADA,174,3
"HELMS SEVIER CO","DE QUEEN","UNITED STATES",185,3
HEMET-RYAN,HEMET,"UNITED STATES",105,2
"HENDERSON CITY-CO",HENDERSON,"UNITED STATES",92,2
HENDERSON,WALLACE,"UNITED STATES",93,2
"HENDRIK VAN ECK",PHALABORWA,"SOUTH AFRICAN REP",80,1
HENGCHUN,HENGCHUN,TAIWAN,120,2
"HENLOW AB",HENLOW,"UNITED KINGDOM",93,2
"HENRY CO",PARIS,"UNITED STATES",80,1
HERKALE,HERKALE,DJIBOUTI,80,1
"HERMISTON MUN",HERMISTON,"UNITED STATES",185,3
HESLER-NOBLE,LAUREL,"UNITED STATES",82,2
"HETZLESER BERG","HETZLESER BERG",GERMANY,119,2
"HICKORY REGL",HICKORY,"UNITED STATES",106,2
HIERRO,HIERRO,"CANARY IS",132,2
"HIGH PRAIRIE","HIGH PRAIRIE",CANADA,148,3
HIGUEROTE,HIGUEROTE,VENEZUELA,106,2
"HILLSDALE MUN",HILLSDALE,"UNITED STATES",107,3
HILVERSUM,HILVERSUM,NETHERLANDS,119,2
HMAWBY,HMAWBY,MYANMAR,119,2
HOF-PLAUEN,HOF-PLAUEN,GERMANY,92,2
"HOLLOMAN AFB",ALAMOGORDO,"UNITED STATES",133,3
HOLMAN,HOLMAN,CANADA,93,2
"HOLYOKE MUN",HOLYOKE,"UNITED STATES",133,2
HONGQIAO,SHANGHAI,CHINA,106,2
"HOOD AAF","FT HOOD","UNITED STATES",158,3
"HOOKER CO",MULLEN,"UNITED STATES",146,3
"HOOKER CREEK","HOOKER CREEK",AUSTRALIA,80,1
HOONAH,HOONAH,"UNITED STATES",107,2
"HOOPER BAY","HOOPER BAY","UNITED STATES",80,2
HORICE,HORICE,CZECH,134,2
"HORNEPAYNE MUN",HORNEPAYNE,CANADA,93,3
"HOSEA KUTAKO INTL",WINDHOEK,NAMIBIA,159,3
HOSIN,HOSIN,CZECH,80,2
"HOUARI BOUMEDIENE",ALGIERS,ALGERIA,174,3
HOUMA-TERREBONNE,HOUMA,"UNITED STATES",107,2
HOVDEN,ORSTA-VOLDA,NORWAY,79,1
"HRADEC KRALOVE","HRADEC KRALOVE",CZECH,79,1
HRANICE,HRANICE,CZECH,108,2
HUAMBO,HUAMBO,PERU,93,2
HUCKNALL,HUCKNALL,"UNITED KINGDOM",173,2
"HURGHADA INTL",HURGHADA,EGYPT,81,3
"HURON CO MEML","BAD AXE","UNITED STATES",119,2
"HURON REGL",HURON,"UNITED STATES",201,3
HUSAVIK,HUSAVIK,ICELAND,80,2
HYDERABAD,HYDERABAD,PAKISTAN,95,2
I.BAR-YEHUDA,METZADA,ISRAEL,226,4
IBIZA,IBIZA,SPAIN,147,2
ICABARU,ICABARU,VENEZUELA,107,2
"IDA GROVE MUN","IDA GROVE","UNITED STATES",94,2
IDIOFA,IDIOFA,CONGO,132,2
IDUMBE,IDUMBE,CONGO,119,3
IJUI,IJUI,BRAZIL,80,1
ILAM,ILAM,IRAN,107,2
"ILOPANGO INTL","SAN SALVADOR","EL SALVADOR",80,2
ILULISSAT,JAKOBSHAVN,GREENLAND,80,1
IMBITUBA,IMBITUBA,BRAZIL,160,3
IMMOLA,IMMOLA,FINLAND,159,3
"IN SALAH","IN SALAH",ALGERIA,146,2
"INCIRLIK AB",ADANA,TURKEY,81,2
"INDEPENDENCE MUN",INDEPENDENCE,"UNITED STATES",80,1
"INDIAN HEAD","INDIAN HEAD",CANADA,120,2
"INDIANOLA MUN",INDIANOLA,"UNITED STATES",106,2
"ING AERON AMBROSIO LV TARAVELL",CORDOBA,ARGENTINA,81,2
INGA,INGA,CONGO,198,3
INISHEER,INISHEER,IRELAND,107,2
INNISFAIL,INNISFAIL,CANADA,94,2
INNSBRUCK,INNSBRUCK,AUSTRIA,120,2
INTUTO,"INTUTO, PERU",PERU,93,2
IOANNINA,IOANNINA,GREECE,135,3
